rank,team,obpr,dbpr,bpr,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff
1,Gonzaga,12.643177720835,15.5800692178193,28.2232469386543,18,2,71.493157832434,92,293,37,2,#FFBC68,#FF9F26,#FF9D22
2,Villanova,17.4972633731907,10.3335721228625,27.8308354960532,3,14,66.4384121966667,321,279,31,5,#FFA22E,#FFBF6F,#FF9F25
3,North Carolina,15.756551226509,11.7960753946174,27.5526266211264,7,9,72.8083890112,48,4,32,7,#FFAB43,#FFB65A,#FFA028
4,Kansas,16.922821048774,9.03680175972815,25.9596228085021,5,23,71.3539071869973,99,165,29,7,#FFA535,#FFC781,#FFA534
5,Kentucky,13.4141291511194,11.8330024866738,25.2471316377932,13,8,74.2003614393333,17,46,32,6,#FFB85F,#FFB65A,#FFA73A
6,Florida,11.5973612793176,13.4887991624135,25.086160441731,21,4,70.5447989141242,143,228,27,9,#FFC174,#FFAC43,#FFA83B
7,Oregon,14.2023792810884,10.8231653492967,25.0255446303851,11,13,69.0751384496709,232,21,32,6,#FFB455,#FFBC68,#FFA83B
8,Duke,17.1699975279851,7.53082666557836,24.7008241935634,4,43,69.9591344171535,182,121,29,8,#FFA432,#FFD096,#FFA93E
9,SMU,15.7255020468413,8.71237070061741,24.4378727474587,8,26,65.2229374753333,339,67,30,5,#FFAC43,#FFC985,#FFAA40
10,West Virginia,10.3258893948704,14.0631545130902,24.3890439079606,28,3,72.5633701009333,52,77,28,9,#FFC883,#FFA83B,#FFAA40
11,Michigan,18.2817917507351,5.15503379721287,23.436825547948,1,61,64.288729714,344,78,26,12,#FF9E24,#FFDFB7,#FFAE48
12,Arizona,14.4572659281593,8.8423908141591,23.2996567423184,10,25,67.3638822221333,300,294,32,5,#FFB252,#FFC883,#FFAE49
13,Louisville,10.5921119226755,12.4407422421761,23.0328541648515,26,7,70.2875331885761,163,140,25,9,#FFC780,#FFB251,#FFAF4B
14,UCLA,17.9177737539979,4.8291524964419,22.7469262504398,2,67,74.200683834,16,205,31,5,#FFA029,#FFE1BB,#FFB04D
15,Wichita State,9.74542335244609,12.8150289108912,22.5604522633373,33,6,70.870709398345,120,33,30,5,#FFCB8A,#FFB04C,#FFB14F
16,Virginia,6.77009437578624,15.5925025268108,22.3625969025971,50,1,61.84259198,351,72,24,10,#FFDBAE,#FF9F25,#FFB150
17,Purdue,12.2598016038113,10.0404949220416,22.3002965258529,20,15,70.5568632576945,141,28,27,8,#FFBE6C,#FFC173,#FFB251
18,Baylor,12.3547388396823,9.28691490734124,21.6416537470236,19,19,65.7246225353333,330,174,26,8,#FFBD6B,#FFC57D,#FFB456
19,Iowa State,14.9069375614384,6.6497771922889,21.5567147537273,9,49,69.7262680103638,197,124,24,11,#FFB04D,#FFD6A2,#FFB456
20,Saint Mary's,13.1474841916822,8.37107002221508,21.5185542138973,15,31,62.455179242,350,315,29,5,#FFB962,#FFCB8A,#FFB457
21,Wisconsin,10.1885750005138,11.2597442039277,21.4483192044415,29,11,64.7355846306667,342,35,27,10,#FFC985,#FFB962,#FFB557
22,Cincinnati,10.6372029397655,9.65734770522388,20.2945506449893,24,18,65.7035421446667,331,41,30,6,#FFC680,#FFC378,#FFB960
23,Notre Dame,14.2022593816631,5.04321619153118,19.2454755731943,12,63,68.1785468577513,266,131,26,10,#FFB455,#FFDFB8,#FFBC68
24,Oklahoma State,16.7547736207356,1.71647991076426,18.4712535314999,6,123,73.2757550766,35,307,19,13,#FFA637,#FFF4E7,#FFBF6E
25,Florida State,9.96510449760128,8.12794858808635,18.0930530856876,30,35,73.2772549563333,34,1,26,9,#FFCA88,#FFCC8D,#FFC071
26,Butler,12.8045471815032,4.74481925612673,17.5493664376299,17,70,66.9779620991333,312,162,24,10,#FFBB66,#FFE1BC,#FFC276
27,South Carolina,3.86587873085621,13.4576655383795,17.3235442692357,93,5,70.1911769380604,172,74,25,11,#FFEAD0,#FFAC43,#FFC377
28,Vanderbilt,7.53914900053305,8.26346407301439,15.8026130735474,43,33,67.675810598974,290,144,19,16,#FFD7A5,#FFCC8B,#FFC883
29,Rhode Island,6.70354630960444,9.07143372875967,15.7749800383641,53,22,68.378257146634,260,320,25,10,#FFDBAF,#FFC780,#FFC883
30,Creighton,8.85598208086862,6.91448475226099,15.7704668331296,35,48,72.957877927,42,273,24,10,#FFD095,#FFD49E,#FFC884
31,Xavier,10.5429605883529,5.17082143600746,15.7137820243603,27,60,69.126450987976,229,73,24,14,#FFC781,#FFDFB7,#FFC884
