rank,team,obpr,dbpr,bpr,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff
1,Villanova,21.0195399093881,9.86384433928631,30.8833842486744,1,13,70.0557805456763,177,207,34,4,#FF9E24,#FFC985,#FF9D22
2,Virginia,11.0215580951678,17.7516779664239,28.7732360615918,22,1,62.14569396,350,264,29,3,#FFCC8C,#FF9E25,#FFA431
3,Duke,16.8852661209539,11.0306180754124,27.9158841963663,3,5,70.9281144008271,120,11,28,8,#FFB14F,#FFC377,#FFA637
4,Michigan State,16.1083074133333,10.57285463,26.6811620433333,5,7,69.2593694614763,233,52,28,4,#FFB457,#FFC57D,#FFAA40
5,Cincinnati,10.7454097461122,15.6096969023875,26.3551066484997,26,2,66.6535906794667,331,141,29,5,#FFCD8F,#FFAA3F,#FFAB42
6,Purdue,16.963158008579,7.71639272724326,24.6795507358223,2,34,68.6000766284445,258,156,28,7,#FFB04E,#FFD5A0,#FFB14E
7,Michigan,11.5084903027965,12.2515875815272,23.7600778843237,17,3,66.6438068541333,332,146,26,8,#FFCA87,#FFBC68,#FFB455
8,West Virginia,12.66314766,9.998597842,22.661745502,15,12,71.4197135458713,93,10,26,9,#FFC47B,#FFC884,#FFB75D
9,Kansas,15.48910882,7.098249268,22.587358088,6,42,70.3349832586171,158,112,29,8,#FFB75D,#FFD8A7,#FFB75D
10,North Carolina,15.1363768866667,6.94682597278,22.0832028594467,7,47,72.3829257413467,61,235,24,11,#FFB961,#FFD9A9,#FFB961
11,Gonzaga,12.7396084002292,9.12780254717125,21.8674109474005,14,18,70.5771045468417,145,210,31,5,#FFC47A,#FFCD8E,#FFBA62
12,Florida,11.0246297284908,9.45525576240238,20.4798854908931,21,16,69.3076474971039,227,338,19,12,#FFCC8C,#FFCB8A,#FFBE6C
13,Kentucky,11.0870739813333,9.23265201,20.3197259913333,20,17,70.7440947622295,131,24,23,11,#FFCB8B,#FFCC8D,#FFBE6D
14,Houston,9.65762613984181,10.4794343417032,20.137060481545,33,8,69.9121635967795,184,20,26,6,#FFD29A,#FFC67E,#FFBF6F
15,Wichita State,16.2899987066667,3.35855844666933,19.648557153336,4,97,70.1934038770144,165,221,21,8,#FFB455,#FFECD5,#FFC172
