rank,team,obpr,dbpr,bpr,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff
16,Texas Tech,7.81009000947222,11.7674674907972,19.5775575002694,49,4,68.328210838294,272,65,24,10,#FFDBAD,#FFBF6E,#FFC173
17,Ohio State,10.8254496593333,8.59587202333333,19.4213216826667,24,24,68.5083050419976,265,63,23,7,#FFCD8E,#FFD095,#FFC174
18,Tennessee,8.89205377015135,10.3104050504722,19.2024588206235,37,11,67.9288948782527,293,175,22,8,#FFD6A2,#FFC780,#FFC275
19,Clemson,8.81937926506364,10.3442168499082,19.1635961149718,39,9,68.0508741419933,289,59,24,10,#FFD6A3,#FFC680,#FFC276
20,Xavier,14.1469385266667,4.67160614903533,18.818544675702,8,75,71.5737258773365,88,107,27,6,#FFBD6B,#FFE5C5,#FFC378
21,Arizona,13.7369878,4.92717088566,18.66415868566,9,70,69.1445232892111,238,299,27,7,#FFBF70,#FFE4C2,#FFC479
22,TCU,13.5659654266667,3.9856225553558,17.5515879820225,10,90,71.1716125490063,107,117,21,12,#FFC071,#FFE9CE,#FFC781
23,Florida State,10.4765353495373,7.05647999676057,17.5330153462978,29,43,74.0306837953333,25,84,22,10,#FFCE91,#FFD8A8,#FFC781
24,Penn State,7.51171345973333,9.722447402,17.2341608617333,54,14,69.4015969470544,218,253,24,12,#FFDCB0,#FFCA87,#FFC883
25,Texas A&M,7.23449751253333,9.67020269933333,16.9047002118667,60,15,70.8126228232006,123,168,21,11,#FFDDB3,#FFCA88,#FFC986
26,Auburn,8.1713958748,8.06420416466667,16.2356000394667,47,30,74.5566269173333,18,153,25,7,#FFD9A9,#FFD39C,#FFCB8B
27,Seton Hall,10.894362904,5.32014642280667,16.2145093268067,23,62,70.7352154863605,132,104,20,11,#FFCC8D,#FFE2BD,#FFCB8B
28,Butler,10.0898025673333,5.982830290502,16.0726328578353,30,54,69.1653954968597,236,21,15,14,#FFD095,#FFDEB5,#FFCC8C
29,Louisville,7.55309960515397,8.44792925264841,16.0010288578024,52,25,70.5881964133145,144,273,20,14,#FFDCB0,#FFD197,#FFCC8C
30,Nevada,13.4754366841153,2.42373147883538,15.8991681629507,11,113,70.4217977538456,153,327,28,6,#FFC172,#FFF1E1,#FFCC8D
31,Baylor,7.71523016939859,8.16766049461147,15.8828906640101,50,28,68.3184560211973,273,37,16,15,#FFDBAE,#FFD29A,#FFCC8D
32,Miami (Fla.),7.49896596981124,8.203220078188,15.7021860479992,55,27,69.5696271802847,205,287,22,9,#FFDCB0,#FFD29A,#FFCD8E
33,Maryland,8.68320200740937,6.98028838365505,15.6634903910644,41,45,68.423937705986,266,30,17,10,#FFD7A4,#FFD9A9,#FFCD8F
34,Arkansas,11.3395557548944,4.23205224073894,15.5716079956333,19,83,71.6786455903727,80,26,23,10,#FFCA88,#FFE8CB,#FFCD8F
35,USC,10.5807816506112,4.96967659083349,15.5504582414447,28,68,69.2617103198267,231,337,23,12,#FFCE90,#FFE4C2,#FFCD90
36,Virginia Tech,10.724733432,4.65689153773333,15.3816249697333,27,76,70.7906874004833,126,261,19,12,#FFCD8F,#FFE5C5,#FFCE91
37,Saint Mary's,12.9277622192478,2.17079905538022,15.098561274628,13,117,65.616867208,342,177,28,5,#FFC378,#FFF3E4,#FFCF93
38,Texas,4.66395607542397,10.3413012814448,15.0052573568687,86,10,68.8258589733725,252,106,19,14,#FFE9CE,#FFC680,#FFCF93
39,Creighton,9.87196710352664,4.99072169367227,14.8626887971989,32,66,72.3318557659233,63,1,20,10,#FFD198,#FFE3C1,#FFD094
40,UCLA,11.3488606032121,3.28183387462584,14.6306944778379,18,102,72.8494108762733,45,239,20,11,#FFCA88,#FFEDD6,#FFD096
41,Davidson,12.6468189955178,1.96923746291501,14.6160564584329,16,123,66.112909292,339,176,21,11,#FFC47B,#FFF4E6,#FFD096
42,Notre Dame,9.89091859788306,4.55527236865134,14.4461909665344,31,78,67.4261783083853,313,154,18,15,#FFD198,#FFE6C7,#FFD197
43,Loyola Chicago,6.49534031783643,7.73954982699699,14.2348901448334,64,33,66.9592941595333,326,155,29,6,#FFE1BB,#FFD5A0,#FFD299
44,Middle Tennessee,6.55551162013127,7.58121556371609,14.1367271838474,63,36,68.62442964818,257,25,23,8,#FFE0BA,#FFD5A1,#FFD29A
45,Missouri,6.62969935966712,7.31740876791415,13.9471081275813,62,38,68.10965932305,284,122,19,11,#FFE0B9,#FFD7A5,#FFD39B
46,Utah,7.38659697566667,6.34725334007333,13.73385031574,58,50,68.1636549999913,280,140,22,10,#FFDDB2,#FFDCB1,#FFD39C
47,San Diego State,5.32858090994815,8.12138718460302,13.4499680945512,78,29,70.4165244678823,154,2,21,10,#FFE6C7,#FFD29B,#FFD49F
48,Kansas State,4.21159349326067,9.06794153453333,13.279535027794,89,19,67.0622499060667,324,150,23,11,#FFEBD3,#FFCD8F,#FFD5A0
49,Rhode Island,5.90185076157707,7.25876854105315,13.1606193026302,68,40,69.9989154795422,181,171,25,7,#FFE3C1,#FFD7A5,#FFD5A1
50,Indiana,5.77931713061333,7.26321348173333,13.0425306123467,70,39,68.5534187833905,261,97,15,14,#FFE4C2,#FFD7A5,#FFD5A1
51,Mississippi State,6.42740090534648,6.45021299096853,12.877613896315,65,48,69.4606507925122,214,222,24,12,#FFE1BC,#FFDCAF,#FFD6A3
52,Syracuse,2.1702700489448,10.600334614,12.7706046629448,126,6,66.1968736186667,337,113,21,13,#FFF5E8,#FFC57C,#FFD6A3
53,Arizona State,9.34373804733333,3.29676499746867,12.640503044802,35,100,72.7953581088867,46,32,18,11,#FFD49D,#FFEDD6,#FFD7A4
54,NC State,9.6242275575385,2.98152187070157,12.6057494282401,34,104,73.5544721708533,28,12,20,11,#FFD29A,#FFEEDA,#FFD7A5
55,Oklahoma,7.59828293915732,4.9027127826676,12.5009957218249,51,72,76.863213906,3,16,17,13,#FFDCAF,#FFE4C2,#FFD7A5
56,Alabama,3.72177025964915,8.71641477357244,12.4381850332216,95,23,70.5089625046864,147,119,19,16,#FFEDD8,#FFCF94,#FFD7A6
57,Marquette,13.1370473393333,-0.8812095958554,12.2558377434779,12,185,71.0159941914491,114,226,19,13,#FFC276,#F6F9FC,#FFD8A7
58,Oklahoma State,7.27286131396667,4.97996255525933,12.252823869226,59,67,70.4018096287853,155,248,18,15,#FFDDB3,#FFE3C1,#FFD8A7
59,Western Kentucky,9.100544212,2.555995050508,11.656539262508,36,110,69.4608846480881,213,98,26,11,#FFD5A0,#FFF1DF,#FFDAAB
60,Nebraska,4.48806090114981,6.99645597400522,11.484516875155,87,44,69.3494612932141,225,85,21,10,#FFEAD0,#FFD9A9,#FFDAAD
61,Oregon,8.52058207393333,2.893080100444,11.4136621743773,43,107,68.5295692820413,263,17,23,12,#FFD7A6,#FFEFDB,#FFDAAD
62,UNC Greensboro,2.01155650054504,9.06086213530439,11.0724186358494,132,20,66.89740002306,327,103,21,8,#FFF5EA,#FFCD8F,#FFDCAF
63,Boise State,3.55112553184527,7.20640953373333,10.7575350655786,98,41,72.3331533201727,62,137,22,9,#FFEEDA,#FFD7A6,#FFDDB2
64,Buffalo,8.24763188971236,2.47632022688233,10.7239521165947,45,112,74.3898064046667,22,234,25,9,#FFD9A9,#FFF1E0,#FFDDB2
65,Providence,2.84934690143333,7.77085707133333,10.6202039727667,118,32,69.8349603470759,190,230,19,14,#FFF1E1,#FFD49F,#FFDDB3
66,LSU,8.88182808511217,1.67336498158093,10.5551930666931,38,132,69.3454089030673,226,6,16,13,#FFD6A2,#FFF5EA,#FFDDB3
67,Bucknell,6.25427734929742,4.17746501078208,10.4317423600795,66,87,73.5878346513333,26,57,25,10,#FFE2BD,#FFE8CB,#FFDEB4
68,Wisconsin,5.10297541393002,5.31073242945958,10.4137078433896,80,63,65.151013064,347,195,12,17,#FFE7C9,#FFE2BD,#FFDEB4
69,Georgia,1.41406138955372,8.79911651167876,10.2131779012325,142,21,67.0995073588,321,82,16,15,#FFF8F0,#FFCF93,#FFDEB6
70,Saint Bonaventure,5.93089964544255,4.21902917094557,10.1499288163881,67,85,70.7779062756937,128,204,23,7,#FFE3C1,#FFE8CB,#FFDEB6
71,New Mexico State,3.12469744309042,6.94903964700375,10.0737370900942,112,46,70.0656790417038,175,266,23,5,#FFF0DE,#FFD9A9,#FFDFB7
72,Old Dominion,1.62230678662018,8.3674241477619,9.98973093438208,139,26,67.65942225714,306,34,25,7,#FFF7EE,#FFD198,#FFDFB7
73,Louisiana-Lafayette,8.07644482511521,1.8689156410528,9.94536046616801,48,129,71.5608461116547,89,257,23,7,#FFD9AA,#FFF4E8,#FFDFB8
74,Vermont,7.53215740732852,2.34301704897593,9.87517445630444,53,116,65.9163098533333,340,305,26,6,#FFDCB0,#FFF2E2,#FFDFB8
75,Northwestern,4.23544000761898,5.45922134311148,9.69466135073046,88,60,67.1815650286,318,40,12,17,#FFEBD2,#FFE1BB,#FFE0B9
76,Iowa,10.759780798088,-1.24647026242647,9.51331053566151,25,198,71.6740574861867,81,18,14,18,#FFCD8E,#F2F7FB,#FFE0BB
77,SMU,5.65377317764942,3.83042205360415,9.48419523125357,73,91,65.7660794966667,341,14,17,15,#FFE4C4,#FFEACF,#FFE1BB
78,Murray State,7.41576995329567,1.91570050954526,9.33147046284094,57,126,68.3353457982025,270,224,23,6,#FFDCB1,#FFF4E7,#FFE1BC
79,South Dakota State,8.65300305793757,0.567144336602759,9.22014739454033,42,158,72.89699866483,43,120,22,6,#FFD7A4,#FFFBF8,#FFE1BD
80,Vanderbilt,8.29950508326667,0.839244498780866,9.13874958204753,44,154,68.0677740304293,287,95,12,18,#FFD8A8,#FFFAF4,#FFE2BD
81,Saint John's,3.15471222701376,5.83790435712195,8.99261658413571,111,57,70.7029090127534,137,191,13,18,#FFF0DE,#FFDFB7,#FFE2BE
82,Belmont,8.24560137147804,0.742566890170397,8.98816826164844,46,155,68.7443648822407,254,139,23,9,#FFD9A9,#FFFAF5,#FFE2BE
83,Georgia State,5.39736876118449,3.40954450512292,8.80691326630741,76,96,69.0330293346196,242,314,22,10,#FFE6C6,#FFECD5,#FFE3C0
84,Boston College,5.84941264696,2.85667198891085,8.70608463587085,69,108,71.3924054861338,95,96,18,15,#FFE4C2,#FFEFDB,#FFE3C0
85,Montana,2.10963621323367,6.41818627353333,8.527822486767,129,49,70.444356124544,152,70,22,8,#FFF5E9,#FFDCB0,#FFE4C2
86,Oregon State,3.357907039252,5.13061241206067,8.48851945131267,103,65,67.556369653544,307,151,15,13,#FFEFDC,#FFE3C0,#FFE4C2
87,Wake Forest,5.67459145808,2.791948909048,8.466540367128,72,109,70.9924893733063,116,203,10,20,#FFE4C3,#FFEFDC,#FFE4C2
88,BYU,3.85387255636528,4.47970520330852,8.3335777596738,91,81,68.3802730309233,268,138,23,10,#FFEDD6,#FFE6C8,#FFE4C3
89,East Tennessee State,2.46626020104339,5.8105870401668,8.27684724121019,123,58,69.4050555826181,217,223,20,8,#FFF3E5,#FFDFB7,#FFE4C3
90,Fresno State,2.36440230328712,5.86052659089762,8.22492889418474,125,56,68.5767252613841,259,346,18,11,#FFF4E6,#FFDFB7,#FFE5C4
91,South Carolina,0.4329989581606,7.69982974395333,8.13282870211393,165,35,70.1527563207246,169,213,16,15,#FFFDFA,#FFD5A0,#FFE5C4
92,Stanford,3.32781731174933,4.69923518191843,8.02705249366776,106,74,71.868285116906,74,38,17,16,#FFEFDC,#FFE5C5,#FFE5C5
93,South Dakota,2.98671194547133,4.9684915701,7.95520351557133,115,69,72.124498157912,69,269,20,9,#FFF1DF,#FFE4C2,#FFE5C6
94,Northern Kentucky,3.407669959328,4.52468521546,7.932355174788,102,80,69.4434792406333,215,237,19,10,#FFEFDB,#FFE6C7,#FFE5C6
95,Furman,5.16633293007639,2.54780811503876,7.71414104511514,79,111,69.9510957058923,182,198,21,10,#FFE7C9,#FFF1DF,#FFE6C7
96,Illinois,5.37046436881333,2.065369329226,7.43583369803933,77,121,71.5875945545798,86,183,12,17,#FFE6C7,#FFF3E5,#FFE7C9
97,Stephen F. Austin,1.07879388180533,6.09641641027733,7.17521029208267,148,53,72.2442357359827,66,23,23,7,#FFFAF3,#FFDDB4,#FFE8CB
98,College of Charleston,5.48424222593173,1.6545620813957,7.13880430732744,75,133,66.9997410509333,325,80,24,7,#FFE5C5,#FFF6EA,#FFE8CC
99,Northeastern,3.8445993098728,3.1772579830718,7.0218572929446,92,103,68.2830335091533,274,311,20,10,#FFEDD6,#FFEDD8,#FFE8CC
100,Georgetown,5.07611144765267,1.91094202224207,6.98705346989473,81,127,71.0360409946571,113,340,15,12,#FFE7CA,#FFF4E7,#FFE8CD
101,Washington,1.91751011850948,4.92514319350667,6.84265331201615,133,71,71.0912793536571,110,254,17,13,#FFF6EB,#FFE4C2,#FFE9CE
102,Temple,2.66735633638267,4.08289083568287,6.75024717206553,121,89,69.6102022777912,202,127,15,16,#FFF2E3,#FFE8CC,#FFE9CE
103,Minnesota,4.70664612834115,1.52244777502453,6.22909390336568,84,138,71.6247509560742,83,225,13,17,#FFE9CE,#FFF6EC,#FFEBD2
104,Saint Joseph's,1.5374959167288,4.65344250859133,6.19093842532013,140,77,71.5050738291183,90,241,16,15,#FFF7EE,#FFE5C5,#FFEBD2
105,Harvard,-1.53944220759467,7.35963546053333,5.82019325293867,203,37,69.2845913269159,228,78,18,12,#EFF5FA,#FFD7A4,#FFECD5
106,Ole Miss,4.77129756663445,0.985518797105752,5.75681636374021,83,151,72.7775010061333,47,101,11,17,#FFE9CD,#FFF9F2,#FFECD5
107,New Mexico,5.68722502091933,-0.0706284459853333,5.616596574934,71,170,72.6052625492553,52,31,16,13,#FFE4C3,#FEFEFE,#FFEDD6
108,Marshall,3.21141175076741,2.39869627738287,5.61010802815028,109,114,76.8899570593333,2,267,23,8,#FFF0DD,#FFF1E1,#FFEDD6
109,Northern Colorado,2.16997373073007,3.4302000681539,5.60017379888397,127,94,74.1121572633333,24,208,20,11,#FFF5E8,#FFECD4,#FFEDD7
110,DePaul,-0.556014783683686,6.15535240581863,5.59933762213495,178,52,71.2973917841041,102,283,11,19,#F9FBFD,#FFDDB3,#FFEDD7
111,Florida Gulf Coast,3.74764354265667,1.83039283129313,5.5780363739498,94,130,72.3188557688533,64,342,19,11,#FFEDD7,#FFF5E8,#FFEDD7
112,Tulsa,3.28167428225651,2.12356664484942,5.40524092710594,107,119,69.7702124512267,193,71,19,11,#FFEFDC,#FFF3E4,#FFEDD8
113,Utah Valley,3.35716111370135,2.01916491148499,5.37632602518634,104,122,70.083763770606,174,56,17,11,#FFEFDC,#FFF4E6,#FFEED8
114,UCF,-3.65475450032067,8.74219949073333,5.08744499041267,247,22,66.1726843246667,338,29,19,13,#D9E7F4,#FFCF93,#FFEEDA
115,Iowa State,3.50674919957842,1.39101489808369,4.89776409766211,99,139,70.0049922503835,180,61,11,17,#FFEEDA,#FFF7ED,#FFEFDC
116,Penn,0.664462448650988,4.22201028059809,4.88647272924908,161,84,70.1425052621847,171,157,19,10,#FFFBF8,#FFE8CB,#FFEFDC
117,Grand Canyon,-1.47559165552361,5.97049145684267,4.49489980131906,201,55,71.1743956275274,106,110,21,10,#EFF5FA,#FFDEB5,#FFF0DE
118,Georgia Tech,-0.3450423833428,4.75805266527333,4.41301028193053,174,73,66.8821739176667,328,128,13,19,#FBFCFD,#FFE5C4,#FFF1DF
119,UAB,3.02057627151239,1.31975108046467,4.34032735197706,114,143,70.2185905845203,164,185,16,13,#FFF1DF,#FFF7EE,#FFF1E0
120,UT Arlington,0.922106188922129,3.34445713089331,4.26656331981543,154,98,74.378123242,23,53,20,13,#FFFAF5,#FFECD5,#FFF1E0
121,UNLV,4.84729881952933,-0.818257364387333,4.029041455142,82,183,74.681495946,16,186,18,13,#FFE8CC,#F6FAFC,#FFF2E2
122,Toledo,7.48220238622354,-3.72783915907893,3.75436322714461,56,255,70.1673551628245,168,294,20,11,#FFDCB1,#DAE8F4,#FFF3E4
123,Albany,3.2723563428048,0.346924716214217,3.61928105901902,108,163,68.1998895967373,277,182,20,10,#FFEFDC,#FFFDFA,#FFF3E5
124,Canisius,3.067953448488,0.331187225015333,3.39914067350333,113,164,70.7070214640257,136,229,21,12,#FFF0DF,#FFFDFA,#FFF4E6
125,Colorado,-0.508607649287751,3.74928501181827,3.24067736253052,177,92,70.9547459517572,118,22,16,15,#F9FBFD,#FFEAD0,#FFF4E7
126,Iona,4.66810577444001,-1.44355910111676,3.22454667332324,85,203,71.449788822712,92,320,18,13,#FFE9CE,#F0F6FA,#FFF4E7
127,Jacksonville State,-1.26628033273465,4.29360729080922,3.02732695807457,195,82,68.1826266004007,278,323,19,13,#F1F6FB,#FFE7CA,#FFF5E9
128,Utah State,0.347685281695333,2.37295338147067,2.720638663166,167,115,69.4009506682289,219,50,15,17,#FFFDFB,#FFF2E1,#FFF6EB
129,Rutgers,-5.33569720726185,8.04071874981329,2.70502154255144,274,31,69.1241006561646,239,28,13,17,#C8DDEF,#FFD39C,#FFF6EB
130,UC Santa Barbara,3.58038310193298,-0.877220110880579,2.7031629910524,96,184,68.532726465814,262,174,25,7,#FFEED9,#F6F9FC,#FFF6EB
131,Wright State,-2.753143630442,5.4015067630784,2.6483631326364,236,61,69.8906404794744,186,306,20,9,#E2EDF6,#FFE1BC,#FFF6EC
132,VCU,1.11517612306753,1.33449265698553,2.44966878005307,146,142,72.387610496478,60,192,16,15,#FFF9F3,#FFF7EE,#FFF7ED
133,Fort Wayne,3.18368472444211,-0.74503632465441,2.4386483997877,110,182,74.9483047353333,14,304,13,12,#FFF0DD,#F7FAFC,#FFF7ED
134,La Salle,1.86345723674253,0.54784893865782,2.41130617540035,134,159,70.6210492979104,140,69,13,18,#FFF6EB,#FFFCF8,#FFF7ED
135,Missouri State,2.82670785441296,-0.443566651882086,2.38314120253088,119,177,67.7458912937867,300,211,15,15,#FFF1E1,#FAFCFD,#FFF7ED
136,Lipscomb,1.01966453178117,1.16233841758274,2.18200294936391,150,148,75.995701546,5,258,19,9,#FFFAF4,#FFF8F0,#FFF8EF
137,Wyoming,0.610034475142161,1.55421217011235,2.16424664525451,163,137,75.5493932413333,8,303,15,13,#FFFCF8,#FFF6EB,#FFF8EF
138,Mercer,6.98587212773497,-5.06506010767102,1.92081202006395,61,286,66.766482584,329,68,15,14,#FFDEB6,#CCE0F0,#FFF8F1
139,Eastern Michigan,-2.37375260064082,4.1993384984717,1.82558589783088,224,86,67.2652030156733,316,159,17,13,#E6EFF7,#FFE8CB,#FFF9F1
140,Louisiana Tech,1.11992793351948,0.693306816198813,1.81323474971829,145,156,70.3180875859237,159,102,12,16,#FFF9F3,#FFFBF6,#FFF9F2
141,UC Irvine,-4.46893813945044,6.24558898608141,1.77665084663096,256,51,68.7943834732687,253,126,14,18,#D1E2F1,#FFDDB2,#FFF9F2
142,Illinois State,-1.578517289986,3.330128719024,1.751611429038,205,99,71.2295388758849,105,100,17,12,#EEF4FA,#FFECD6,#FFF9F2
143,Indiana State,-1.99147708521519,3.73390304573754,1.74242596052235,212,93,73.1419548589933,37,344,10,17,#EAF2F9,#FFEAD1,#FFF9F2
144,Winthrop,0.676624107047168,0.909993668314724,1.58661777536189,160,153,72.7612653153067,48,93,15,11,#FFFBF7,#FFFAF3,#FFF9F3
145,Hofstra,5.51244057999333,-3.96605806449673,1.5463825154966,74,263,70.0273596135489,178,256,17,11,#FFE5C5,#D7E6F3,#FFFAF3
146,North Dakota State,1.84050211411031,-0.349990263521387,1.49051185058893,135,174,67.6940935933933,303,319,12,14,#FFF6EB,#FBFCFE,#FFFAF4
147,Valparaiso,-1.965658554898,3.42614270874667,1.46048415384867,210,95,70.7924739075341,125,77,13,14,#EAF2F9,#FFECD4,#FFFAF4
148,Georgia Southern,0.978737807071533,0.304285555767333,1.28302336283887,151,165,70.3403825027787,157,166,19,10,#FFFAF4,#FFFDFB,#FFFAF5
149,Wofford,3.46078548854,-2.20195524833378,1.25883024020622,101,218,68.0943816590683,286,236,17,11,#FFEFDA,#E9F1F8,#FFFBF6
150,Weber State,2.7304198560543,-1.53693010444891,1.19348975160539,120,206,69.601409881275,203,147,16,8,#FFF2E2,#EFF5FA,#FFFBF6
151,Eastern Washington,2.97699951238206,-1.86937907468087,1.10762043770118,116,211,68.3723285251073,269,55,18,14,#FFF1E0,#ECF3F9,#FFFBF7
152,San Diego,-0.888914905173128,1.91914289621886,1.03022799104573,185,125,68.8677774928827,249,296,19,14,#F5F9FC,#FFF4E7,#FFFBF7
153,North Texas,-0.604634338812023,1.58125725023503,0.976622911423003,180,136,70.0577847440349,176,42,17,18,#F8FBFD,#FFF6EB,#FFFBF8
154,Rider,3.84043563723679,-2.93499483376439,0.905440803472394,93,237,74.4685389113333,20,89,19,9,#FFEDD7,#E2EDF6,#FFFCF8
155,Memphis,1.80884554086735,-0.92206615104795,0.886779389819405,138,189,69.5110218115049,208,263,20,10,#FFF6EC,#F5F9FC,#FFFCF8
156,Oakland,2.87614231685858,-2.00076614602496,0.875376170833616,117,214,72.0383144806893,71,187,17,14,#FFF1E1,#EBF2F9,#FFFCF8
157,UMBC,-1.07970093064631,1.80332166341094,0.723620732764634,189,131,70.1344021420307,172,286,22,11,#F3F8FB,#FFF5E8,#FFFCF9
158,San Francisco,-2.26458221043433,2.962942716512,0.698360506077667,223,105,69.0274669390107,243,298,19,17,#E7F0F8,#FFEEDA,#FFFCFA
159,Evansville,-4.91808891688027,5.54593816419728,0.627849247317015,265,59,67.8599162846667,295,15,15,12,#CCDFF0,#FFE0BA,#FFFDFA
160,Princeton,1.82329637590378,-1.20235393403264,0.620942441871133,136,196,66.7441589360667,330,90,11,15,#FFF6EC,#F3F7FB,#FFFDFA
161,Bradley,-2.70879146698333,3.28810353102147,0.579312064038133,234,101,68.0520321358933,288,5,17,14,#E3EDF6,#FFEDD6,#FFFDFA
162,Saint Louis,-3.6151158539507,4.13005672023325,0.514940866282547,246,88,66.4789628446667,333,91,14,16,#D9E8F4,#FFE8CC,#FFFDFB
163,Idaho,3.5525570140371,-3.1118692968184,0.4406877172187,97,242,67.5192338190267,311,316,18,9,#FFEEDA,#E0EBF6,#FFFDFB
164,Northern Iowa,-4.11319544813171,4.5419460310035,0.428750582871784,249,79,65.0034530086667,348,19,11,14,#D4E4F2,#FFE6C7,#FFFDFB
165,Dayton,3.34111523671646,-3.01642463437249,0.324690602343967,105,240,68.9722188319907,245,4,14,16,#FFEFDC,#E1ECF6,#FFFDFC
166,Ball State,-0.275440321839388,0.504578495303735,0.229138173464347,172,161,71.3547901263943,99,49,18,13,#FCFDFE,#FFFCF8,#FFFEFD
167,Towson,0.00276263479918007,0.139628696352667,0.142391331151847,169,167,71.1293763131768,108,284,14,16,#FFFEFE,#FFFEFD,#FFFEFD
168,Illinois-Chicago,-1.97413138773966,2.08646397399632,0.11233258625666,211,120,73.43246267022,30,272,18,15,#EAF2F9,#FFF3E5,#FFFEFE
169,Richmond,3.49956021702333,-3.45953450503267,0.0400257119906668,100,251,69.6415079192953,200,297,11,20,#FFEEDA,#DCE9F5,#FFFEFE
170,Southern Illinois,-1.11469560218933,0.958408030937333,-0.156287571252,192,152,69.7662170916656,194,83,18,13,#F3F7FB,#FFF9F3,#FDFEFE
171,UC Davis,-1.85461861981204,1.62965156446716,-0.224967055344878,209,135,68.3836481808447,267,292,19,11,#EBF3F9,#FFF6EA,#FDFEFE
172,Connecticut,0.707798909360507,-1.02126885591457,-0.313469946554064,158,191,68.6655597849096,256,76,12,17,#FFFBF7,#F4F8FC,#FCFDFE
173,Tulane,0.757365364912716,-1.11272697677858,-0.355361611865864,157,194,70.7308154987945,133,268,14,16,#FFFBF7,#F4F8FB,#FCFDFE
174,Western Michigan,0.700399484548305,-1.07509251769971,-0.374693033151404,159,192,70.5075871094845,148,341,15,14,#FFFBF7,#F4F8FB,#FCFDFE
175,Yale,2.02445904535474,-2.45307648007667,-0.428617434721931,131,224,70.6199113239286,142,200,14,13,#FFF5E9,#E6F0F7,#FCFDFE
176,William & Mary,8.74630133106667,-9.409818444,-0.663517112933333,40,334,70.6703003222751,139,310,14,11,#FFD6A3,#A2C5E4,#FAFCFD
177,Monmouth,-1.39891179385637,0.642423821612719,-0.756487972243648,199,157,72.7205578233533,51,291,10,18,#F0F6FA,#FFFBF7,#FAFBFD
178,Portland State,1.48476695070711,-2.59120591917131,-1.1064389684642,141,232,75.7543393073333,7,280,17,12,#FFF8EF,#E5EFF7,#F7FAFC
179,Radford,-2.4549873812753,1.30009309894968,-1.15489428232562,230,144,64.8176217513333,349,270,19,12,#E5EFF7,#FFF7EF,#F7FAFC
180,Central Michigan,4.18636214254667,-5.54787863668,-1.36151649413333,90,295,68.9517744250557,246,205,17,14,#FFEBD3,#C8DDEF,#F6F9FC
181,George Washington,-1.05347409787993,-0.411512635391533,-1.46498673327147,188,176,67.2566305936,317,3,15,16,#F4F8FB,#FAFCFD,#F5F9FC
182,Drake,-1.01813004947672,-0.575613124733679,-1.5937431742104,187,179,70.6866314647692,138,275,14,16,#F4F8FB,#F9FBFD,#F4F8FB
183,UNC Asheville,1.25705488419959,-2.85706485605296,-1.60000997185337,144,234,72.2034349885953,67,194,17,13,#FFF9F1,#E2EDF6,#F4F8FB
184,Nicholls State,-2.17912572497763,0.538442785151935,-1.6406829398257,216,160,75.0739956746667,12,121,17,9,#E8F1F8,#FFFCF8,#F4F8FB
