TEAM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,SEED,OBPR,DBPR,BPR,OPPONENT_ADJUST,PACE_ADJUST,HOME_RANK
McNeese St.,111.375,101.196,0.751881,54.927,47.849,14.221,23.06,32.177,30.4239,40.618,33.9217,52.878,46.329,39.44,33.012,65.3298,12.0,6.98897072506965,2.95633771592805,9.9453084409977,11.5181408730244,32.96329889036,272
Yale,109.895,100.179,0.744185,52.385,49.713,14.118,16.0249,28.4193,24.013,26.9332,29.084,52.594,48.8103,34.6142,34.0183,64.6324,13.0,5.64896941167153,5.33023031324376,10.9791997249153,-4.87613941519217,2.00559191957153,234
Samford,111.767,102.4126,0.731589,56.97,50.015,18.1249,21.717,30.2124,32.0313,36.485,37.0283,55.521,49.5137,39.38,33.9172,72.612,13.0,5.64699084463459,1.47298405794276,7.11997490257735,-23.7313642800224,-16.4476558505313,105
College of Charleston,113.353,105.2178,0.70151,52.482,50.6188,14.327,16.4214,33.545,26.673,26.9332,28.369,52.685,50.5179,34.8129,33.8165,70.053,13.0,7.17639876689138,0.829200707478606,8.00559947436999,14.935552128341,-44.1070851162438,329
UAB,112.759,106.3197,0.6631109,50.1206,51.0207,16.7159,16.1241,35.322,31.0274,40.52,31.414,50.417,50.217,33.122,35.0253,67.7157,12.0,6.35303110692536,-0.0841531659988969,6.26887794092646,62.0341531441199,7.84075880989862,322
Vermont,104.5191,98.752,0.659511,51.8114,46.723,13.811,15.1299,22.4345,23.38,29.7268,25.925,53.172,46.431,33.5198,31.548,63.335,13.0,1.29614261446319,6.38188654289508,7.67802915735826,35.5477580167625,30.0370443112541,253
Akron,105.0176,101.5103,0.5958131,52.01,48.677,17.219,16.6198,29.5149,25.65,33.6152,29.084,54.83,50.7193,32.0274,30.013,65.7276,14.0,1.26971996880067,3.989851474746,5.25957144354667,20.0995467183907,17.3307747573963,153
Western Kentucky,105.2175,101.8108,0.5934132,51.9107,48.367,18.3269,18.674,28.5186,26.778,32.9173,33.4203,52.1103,48.384,34.4151,32.278,75.11,15.0,1.0649723509496,3.83486188341067,4.89983423436027,4.64515875243879,-5.9517161583059,211
Morehead St.,106.7149,103.4142,0.5891133,54.434,45.79,18.5279,15.528,32.081,26.468,31.3227,32.7183,55.62,45.416,35.3102,31.132,64.3333,14.0,1.99475747972899,2.25165075232708,4.24640823205607,-13.6391886889995,-31.0856416202893,254
Oakland,107.813,104.6163,0.5851137,52.192,50.6188,16.2113,16.3225,30.6115,28.6155,30.9237,26.837,51.8113,50.5179,35.1114,33.9172,66.8223,14.0,2.72813710940199,-1.08664525634135,1.64149185306064,-28.1540928708318,-8.59077658361382,301
South Dakota St.,107.6137,104.5154,0.5834138,55.318,50.8195,16.4134,16.5207,24.4302,25.334,30.4248,27.446,55.918,49.0111,36.248,35.2265,67.9146,15.0,3.47806143694937,0.957215640229177,4.43527707717854,19.2767317196893,-48.3943739277805,148
Colgate,102.3226,101.8111,0.5125159,53.453,47.23,16.3122,16.1241,25.0298,24.518,27.6316,24.513,53.365,48.71,35.775,29.91,66.2256,14.0,1.29274371715994,3.44656665813871,4.73931037529864,-18.6439149779864,-4.71571235824304,150
Longwood,104.0202,104.8167,0.476117,49.4238,51.3221,18.0242,19.645,36.713,25.541,39.532,36.1271,48.6253,50.9203,34.2158,34.6233,66.822,16.0,-0.693702147267156,2.69968771181625,2.00598556454909,46.4643479366616,10.6565655858829,250
Long Beach St.,105.4174,108.0233,0.4313191,48.9255,51.2217,17.1182,18.584,33.351,29.6208,38.152,32.6176,49.7208,50.0155,31.3301,35.1262,71.423,15.0,1.2386549165902,-0.616571887092987,0.622083029497213,49.2823284264897,-26.5480187170728,333
Montana St.,102.922,105.9189,0.4189201,53.944,52.3278,16.8166,18.674,20.7356,28.6155,30.7242,37.0283,53.456,54.1328,36.442,32.696,68.5111,16.0,-1.80727582793651,-1.39839090300661,-3.20566673094313,36.4972139707097,-15.0320433978515,154
Saint Peter's,96.8314,100.282,0.4037208,45.0349,46.621,19.6323,20.331,35.123,29.4197,38.152,42.3339,42.4359,46.431,33.9179,31.548,64.0337,15.0,-7.10400845982883,4.92506382247003,-2.1789446373588,-32.9756043798345,-21.6127861787054,192
Stetson,108.2118,114.0346,0.3560231,53.453,52.0259,15.891,13.5344,27.5226,31.2285,31.7213,25.925,52.594,52.226,36.533,34.523,66.0264,16.0,3.86663301372167,-6.69020688938667,-2.823573875665,50.448077647803,21.3784740362327,96
Howard,104.5192,112.9335,0.2911268,52.01,50.9198,21.4352,16.7191,33.446,30.726,42.211,39.131,49.2227,50.8198,37.519,34.0183,67.7161,16.0,0.143571957989856,-5.62240973874623,-5.47883778075637,36.5672346200461,4.65023949052468,132
Grambling St.,97.7306,106.0191,0.2805272,48.2273,49.197,20.5339,19.058,28.1208,32.7325,39.63,33.9217,47.0301,48.488,34.1165,33.716,64.9313,16.0,-6.37849415880667,-2.05378768014687,-8.43228183895353,-30.497472231255,-27.7741590606768,299
Wagner,95.0333,105.0174,0.2400294,44.6353,48.47,15.996,17.0166,29.5149,27.092,26.8334,29.9107,42.8358,50.9203,31.6291,29.91,61.3361,16.0,-9.11637805568244,0.420116847864023,-8.69626120781842,10.1579666015615,-16.0034953706929,267
