TEAM,ADJ_SQ,O_SQ,D_SQ,RIM_AND_3_RATE,YEAR
New Mexico,0.01,1.06,1.05,0.7396878484,2022
Princeton,0.0,1.03,1.03,0.8939481268,2022
Charleston,0.0,1.02,1.02,0.8121628249,2022
Kent St.,0.0,1.01,1.01,0.7867851194,2022
Appalachian St.,0.0,1.0,1.01,0.7811256396,2022
Campbell,0.0,0.99,0.99,0.7803302225,2022
Yale,0.0,1.04,1.03,0.7694077056,2022
Northern Kentucky,0.0,1.03,1.03,0.7690108634,2022
Tarleton St.,0.0,0.97,0.97,0.7683578104,2022
Marshall,0.0,1.04,1.04,0.7521806054,2022
Georgia Tech,0.0,1.04,1.03,0.7277282851,2022
Pittsburgh,0.0,1.03,1.03,0.7220858896,2022
UC Irvine,0.0,1.0,1.0,0.6843800322,2022
Buffalo,-0.01,1.03,1.04,0.8373759647,2022
Delaware,-0.01,1.01,1.02,0.8099571734,2022
South Alabama,-0.01,0.99,1.01,0.799503414,2022
Morehead St.,-0.01,1.0,1.01,0.7956674473,2022
UNC Wilmington,-0.01,1.02,1.03,0.7556221889,2022
Cal St. Fullerton,-0.01,1.02,1.02,0.7362371446,2022
UC Davis,-0.01,0.99,1.0,0.7358790772,2022
Monmouth,-0.01,1.0,1.01,0.7336814621,2022
Jacksonville,-0.01,1.01,1.02,0.7300068353,2022
Portland,-0.01,1.05,1.05,0.7145196507,2022
Old Dominion,-0.01,0.99,1.0,0.672,2022
San Diego,-0.01,0.98,0.99,0.6606498195,2022
Dartmouth,-0.02,1.01,1.03,0.8511560694,2022
Saint Peter's,-0.02,0.94,0.97,0.8139534884,2022
East Tennessee St.,-0.02,1.08,1.1,0.7948574623,2022
Hawaii,-0.02,0.99,1.01,0.7948350072,2022
Drexel,-0.02,1.04,1.05,0.7509113001,2022
Bellarmine,-0.02,1.08,1.1,0.7439100562,2022
Rhode Island,-0.02,1.0,1.02,0.7417177914,2022
Illinois St.,-0.02,1.05,1.07,0.7391546162,2022
UTEP,-0.02,0.96,0.98,0.6943832599,2022
Gardner Webb,-0.03,0.97,1.0,0.8493324857,2022
Montana St.,-0.03,1.0,1.02,0.7777161863,2022
VMI,-0.04,1.09,1.13,0.8886269888,2022
Bryant,-0.04,1.02,1.07,0.8713692946,2022
Loyola Marymount,-0.04,1.01,1.05,0.8350062735,2022
Cal Baptist,-0.04,1.01,1.05,0.834502924,2022
Cleveland St.,-0.04,1.01,1.06,0.8328322309,2022
James Madison,-0.04,0.99,1.03,0.8270820089,2022
Rice,-0.04,1.04,1.08,0.8027366021,2022
Elon,-0.04,1.01,1.04,0.7850299401,2022
Louisiana,-0.04,0.97,1.01,0.7770432692,2022
Valparaiso,-0.04,1.03,1.07,0.772673031,2022
Detroit,-0.04,1.08,1.11,0.7654921021,2022
Pacific,-0.04,0.99,1.03,0.7630094044,2022
Arkansas St.,-0.04,0.97,1.01,0.7192254495,2022
South Florida,-0.04,0.94,0.98,0.6463687151,2022
Indiana St.,-0.05,0.96,1.02,0.8871173469,2022
Eastern Kentucky,-0.05,1.01,1.06,0.8366445916,2022
Winthrop,-0.05,0.98,1.03,0.8362573099,2022
Samford,-0.05,1.06,1.12,0.8281524927,2022
UNC Greensboro,-0.05,0.99,1.04,0.8260869565,2022
Oakland,-0.05,1.03,1.09,0.8182342758,2022
Troy,-0.05,0.94,1.0,0.8021091811,2022
Texas A&M Corpus Chris,-0.05,1.0,1.05,0.7909725954,2022
Mercer,-0.05,1.04,1.09,0.7875,2022
Montana,-0.05,0.97,1.02,0.762987013,2022
Nicholls St.,-0.05,1.01,1.07,0.7544141252,2022
Utah Valley,-0.05,0.96,1.01,0.7300613497,2022
Pepperdine,-0.05,1.02,1.07,0.6505636071,2022
Harvard,-0.06,0.97,1.04,0.8387563268,2022
Marist,-0.06,0.95,1.01,0.7869890616,2022
North Dakota St.,-0.06,1.0,1.05,0.7763232783,2022
Boston University,-0.06,1.0,1.06,0.7755637126,2022
Canisius,-0.06,0.97,1.03,0.768776824,2022
Miami OH,-0.06,1.05,1.11,0.7396648045,2022
Duquesne,-0.06,1.0,1.06,0.7166123779,2022
Siena,-0.06,0.96,1.02,0.708821715,2022
Florida Gulf Coast,-0.07,1.04,1.11,0.8837809917,2022
Northern Colorado,-0.07,1.05,1.12,0.8485600794,2022
Fordham,-0.07,0.92,0.99,0.8470588235,2022
LIU,-0.07,1.0,1.07,0.8302197802,2022
UNC Asheville,-0.07,1.02,1.08,0.8220858896,2022
Penn,-0.07,1.04,1.11,0.8031026253,2022
Loyola MD,-0.07,0.97,1.04,0.7774352651,2022
La Salle,-0.07,1.0,1.07,0.7566815145,2022
Mount St. Mary's,-0.07,0.95,1.01,0.7154320988,2022
UT Arlington,-0.07,0.96,1.02,0.695262484,2022
Rider,-0.07,0.97,1.04,0.6675271038,2022
Cornell,-0.08,1.01,1.09,0.8887313962,2022
Quinnipiac,-0.08,0.94,1.02,0.8647727273,2022
The Citadel,-0.08,1.05,1.12,0.859375,2022
Eastern Washington,-0.08,1.01,1.09,0.8511678436,2022
Western Illinois,-0.08,1.02,1.09,0.8173277662,2022
New Hampshire,-0.08,0.95,1.03,0.7945205479,2022
Wagner,-0.08,0.97,1.05,0.7643641059,2022
George Washington,-0.08,0.97,1.05,0.7620124364,2022
Austin Peay,-0.08,0.95,1.03,0.7480263158,2022
Southern,-0.08,0.94,1.02,0.7388955582,2022
New Orleans,-0.08,0.97,1.05,0.7377725398,2022
Kennesaw St.,-0.08,1.01,1.09,0.7327806122,2022
Navy,-0.08,0.91,0.99,0.7320601852,2022
FIU,-0.09,0.98,1.07,0.8614768174,2022
Air Force,-0.09,0.95,1.04,0.8343771747,2022
Fairfield,-0.09,0.94,1.02,0.7993402969,2022
Portland St.,-0.09,0.96,1.05,0.7949008499,2022
Bowling Green,-0.09,1.02,1.11,0.7773019272,2022
UMBC,-0.09,0.97,1.06,0.7746158224,2022
Brown,-0.09,0.96,1.05,0.7575757576,2022
UMass Lowell,-0.09,0.92,1.01,0.7522713507,2022
Southeast Missouri St.,-0.1,1.0,1.1,0.8295194508,2022
Northeastern,-0.1,0.95,1.05,0.8275862069,2022
Purdue Fort Wayne,-0.1,0.97,1.07,0.8254420993,2022
UMKC,-0.1,0.96,1.06,0.8043478261,2022
Illinois Chicago,-0.1,1.0,1.1,0.802978236,2022
Howard,-0.1,0.96,1.05,0.796259185,2022
Prairie View A&M,-0.1,0.96,1.06,0.7681638045,2022
Stony Brook,-0.1,0.95,1.05,0.7631284916,2022
Presbyterian,-0.1,0.94,1.04,0.7485242031,2022
High Point,-0.1,0.96,1.06,0.746496039,2022
UTSA,-0.1,0.97,1.07,0.7128883774,2022
St. Thomas,-0.11,1.03,1.14,0.8902743142,2022
UC San Diego,-0.11,0.92,1.04,0.8722408027,2022
Hartford,-0.11,0.96,1.06,0.8239595051,2022
Radford,-0.11,0.91,1.02,0.7914151576,2022
Youngstown St.,-0.11,1.0,1.11,0.784463895,2022
Cal St. Bakersfield,-0.11,0.94,1.05,0.6036931818,2022
Ball St.,-0.12,0.97,1.09,0.862550961,2022
Georgia Southern,-0.12,0.91,1.03,0.7842998586,2022
Tennessee Tech,-0.12,0.95,1.06,0.769439913,2022
Morgan St.,-0.12,0.92,1.03,0.7528619529,2022
Texas Southern,-0.12,0.9,1.02,0.7424986361,2022
Tennessee St.,-0.12,0.94,1.06,0.7366589327,2022
Northwestern St.,-0.12,0.97,1.09,0.7134376686,2022
Sacramento St.,-0.12,0.97,1.09,0.7069892473,2022
South Dakota,-0.12,1.01,1.13,0.6988463874,2022
Albany,-0.12,0.89,1.01,0.6973004021,2022
Southeastern Louisiana,-0.13,0.99,1.13,0.8496196606,2022
Coppin St.,-0.13,0.91,1.04,0.8471096704,2022
North Florida,-0.13,0.96,1.09,0.8404669261,2022
North Dakota,-0.13,0.96,1.09,0.8269570335,2022
Utah Tech,-0.13,0.95,1.08,0.809252218,2022
Evansville,-0.13,0.93,1.05,0.8024852845,2022
North Alabama,-0.13,0.88,1.01,0.7723577236,2022
Northern Illinois,-0.13,0.89,1.02,0.7417982989,2022
South Carolina St.,-0.13,0.91,1.04,0.7177060134,2022
Jackson St.,-0.13,0.89,1.02,0.6779866586,2022
Lipscomb,-0.14,0.96,1.1,0.8842925659,2022
San Jose St.,-0.14,0.94,1.08,0.8567073171,2022
Houston Christian,-0.14,0.98,1.13,0.8497913769,2022
Army,-0.14,0.95,1.09,0.8043606364,2022
Norfolk St.,-0.14,0.94,1.08,0.7838010204,2022
Manhattan,-0.14,0.92,1.07,0.7799373041,2022
Louisiana Monroe,-0.14,0.96,1.1,0.7702702703,2022
North Carolina A&T,-0.14,0.92,1.06,0.7546948357,2022
Northern Arizona,-0.14,1.0,1.13,0.7302977233,2022
Stetson,-0.15,0.96,1.1,0.8131648936,2022
Denver,-0.15,0.99,1.13,0.7773083887,2022
USC Upstate,-0.15,0.97,1.12,0.7268436578,2022
Cal St. Northridge,-0.15,0.88,1.02,0.6336760925,2022
Chicago St.,-0.16,0.93,1.09,0.8344444444,2022
Lafayette,-0.16,0.96,1.12,0.8118694362,2022
Tennessee Martin,-0.16,0.95,1.1,0.8026004728,2022
SIU Edwardsville,-0.16,0.92,1.09,0.7920560748,2022
Binghamton,-0.16,0.91,1.07,0.774090619,2022
Bethune Cookman,-0.16,0.91,1.07,0.6666666667,2022
Western Carolina,-0.17,0.99,1.16,0.8779193206,2022
Charleston Southern,-0.17,0.9,1.07,0.8360349127,2022
Western Michigan,-0.17,0.97,1.14,0.820952381,2022
Sacred Heart,-0.17,0.97,1.14,0.818287037,2022
Idaho St.,-0.17,0.94,1.11,0.8009414929,2022
North Carolina Central,-0.17,0.87,1.04,0.7931488801,2022
Lehigh,-0.17,0.91,1.08,0.792004635,2022
Green Bay,-0.17,0.92,1.1,0.7638617091,2022
Robert Morris,-0.17,0.96,1.13,0.7524694945,2022
St. Francis NY,-0.17,0.89,1.06,0.7356125356,2022
Alcorn St.,-0.17,0.89,1.06,0.7,2022
Southern Miss,-0.17,0.93,1.11,0.6927502877,2022
Florida A&M,-0.17,0.89,1.06,0.5988556898,2022
UT Rio Grande Valley,-0.18,0.95,1.13,0.8440993789,2022
William & Mary,-0.18,0.88,1.06,0.8312138728,2022
McNeese St.,-0.18,0.96,1.13,0.8132495717,2022
Central Arkansas,-0.18,0.95,1.14,0.789618995,2022
Bucknell,-0.18,0.96,1.14,0.7625698324,2022
Grambling St.,-0.18,0.9,1.08,0.7602779386,2022
Cal Poly,-0.18,0.88,1.06,0.7514534884,2022
Eastern Michigan,-0.18,0.92,1.1,0.7343927355,2022
Little Rock,-0.18,0.92,1.1,0.7285607755,2022
Milwaukee,-0.18,0.9,1.08,0.7132140796,2022
Alabama A&M,-0.18,0.88,1.05,0.6518475751,2022
Idaho,-0.19,0.97,1.15,0.8287092883,2022
Maryland Eastern Shore,-0.19,0.84,1.03,0.8126377663,2022
St. Francis PA,-0.19,0.93,1.12,0.7870744374,2022
Incarnate Word,-0.19,0.93,1.12,0.7762413576,2022
American,-0.19,0.92,1.11,0.7695852535,2022
Central Michigan,-0.19,0.92,1.11,0.7441037736,2022
Alabama St.,-0.19,0.91,1.09,0.7431085044,2022
Lamar,-0.19,0.91,1.1,0.6703511053,2022
Central Connecticut,-0.2,0.9,1.1,0.7698005698,2022
Hampton,-0.2,0.88,1.09,0.7258848022,2022
NJIT,-0.21,0.9,1.11,0.7772727273,2022
Arkansas Pine Bluff,-0.21,0.92,1.13,0.7751552795,2022
Holy Cross,-0.21,0.9,1.1,0.7503022975,2022
Merrimack,-0.22,0.86,1.07,0.8336582196,2022
Columbia,-0.22,0.9,1.12,0.7554495913,2022
Maine,-0.23,0.87,1.1,0.7419575633,2022
Fairleigh Dickinson,-0.24,0.93,1.17,0.7935691318,2022
Eastern Illinois,-0.24,0.82,1.05,0.7880247763,2022
Mississippi Valley St.,-0.25,0.87,1.11,0.7908192911,2022
Nebraska Omaha,-0.25,0.94,1.19,0.7073746313,2022
Delaware St.,-0.28,0.83,1.1,0.6612546125,2022
IUPUI,-0.31,0.81,1.12,0.7109317682,2022
UCLA,0.36,1.21,0.85,0.7016918967,2023
Connecticut,0.31,1.25,0.94,0.851693099,2023
Creighton,0.31,1.23,0.92,0.8262476895,2023
Gonzaga,0.3,1.29,0.99,0.7982813207,2023
Tennessee,0.3,1.18,0.88,0.7815927515,2023
Houston,0.3,1.2,0.91,0.7602179837,2023
Kentucky,0.29,1.22,0.93,0.7041564792,2023
Alabama,0.28,1.19,0.91,0.9261019879,2023
Kansas,0.27,1.18,0.91,0.8029878618,2023
Baylor,0.27,1.26,0.99,0.7991824221,2023
Saint Mary's,0.26,1.18,0.92,0.8917062863,2023
Arizona,0.26,1.18,0.93,0.8305984556,2023
Purdue,0.26,1.22,0.96,0.8125,2023
Texas,0.25,1.18,0.93,0.717847769,2023
Marquette,0.24,1.19,0.95,0.8854645814,2023
TCU,0.24,1.18,0.94,0.8250235183,2023
Duke,0.24,1.19,0.95,0.8180501931,2023
Iowa,0.24,1.21,0.98,0.8098218584,2023
Virginia,0.24,1.16,0.92,0.7824362606,2023
Utah St.,0.23,1.17,0.94,0.8340314136,2023
Memphis,0.23,1.17,0.93,0.7471374046,2023
Mississippi St.,0.22,1.12,0.9,0.8021694215,2023
Penn St.,0.21,1.2,0.99,0.8048318333,2023
Miami FL,0.21,1.22,1.02,0.7836734694,2023
San Diego St.,0.21,1.11,0.9,0.7152014652,2023
Liberty,0.2,1.12,0.92,0.9257854821,2023
Oklahoma St.,0.2,1.11,0.91,0.7996089932,2023
Providence,0.2,1.18,0.98,0.7984810127,2023
Iowa St.,0.2,1.09,0.9,0.7763018066,2023
Indiana,0.2,1.14,0.95,0.7464512971,2023
Arkansas,0.2,1.17,0.97,0.7444228904,2023
Rutgers,0.2,1.11,0.91,0.7430417495,2023
Ohio St.,0.2,1.19,0.99,0.6855192589,2023
Kansas St.,0.19,1.15,0.96,0.8540566491,2023
Xavier,0.19,1.16,0.97,0.802748227,2023
North Carolina,0.19,1.16,0.97,0.7736604907,2023
Maryland,0.18,1.16,0.98,0.8285714286,2023
Auburn,0.18,1.16,0.98,0.8026117529,2023
Michigan St.,0.18,1.15,0.98,0.6877572016,2023
Illinois,0.17,1.14,0.97,0.852004111,2023
Oregon,0.17,1.1,0.93,0.8389623103,2023
Florida Atlantic,0.16,1.12,0.96,0.894952251,2023
Dayton,0.16,1.12,0.96,0.8469730942,2023
Texas A&M,0.16,1.19,1.03,0.8307453416,2023
Washington St.,0.16,1.12,0.96,0.8242961418,2023
UAB,0.16,1.15,0.99,0.8135168961,2023
Texas Tech,0.16,1.14,0.98,0.8126036484,2023
Northwestern,0.16,1.1,0.95,0.7896341463,2023
West Virginia,0.16,1.13,0.97,0.7567844342,2023
N.C. State,0.16,1.17,1.01,0.7514901421,2023
Villanova,0.15,1.1,0.95,0.8694009714,2023
Oklahoma,0.15,1.12,0.98,0.8330404218,2023
UCF,0.15,1.09,0.94,0.8248359414,2023
North Texas,0.15,1.08,0.93,0.8196632265,2023
Michigan,0.15,1.14,0.99,0.7542627884,2023
USC,0.15,1.13,0.98,0.7012779553,2023
Missouri,0.14,1.16,1.02,0.8599426386,2023
Florida,0.14,1.13,1.0,0.8455882353,2023
BYU,0.14,1.13,0.99,0.8356456777,2023
LSU,0.14,1.12,0.98,0.8272,2023
Wisconsin,0.14,1.1,0.96,0.8219451372,2023
Boise St.,0.14,1.1,0.96,0.7828632251,2023
Cincinnati,0.14,1.13,0.99,0.7532701849,2023
Drake,0.14,1.1,0.96,0.7461617195,2023
New Mexico,0.14,1.15,1.02,0.7171819564,2023
Virginia Tech,0.13,1.17,1.04,0.8397177419,2023
Stanford,0.13,1.11,0.97,0.8219104155,2023
Colorado St.,0.13,1.12,0.99,0.8164447018,2023
Santa Clara,0.13,1.14,1.01,0.8074565884,2023
Pittsburgh,0.13,1.16,1.03,0.7957712638,2023
Toledo,0.13,1.23,1.1,0.7872648336,2023
Nevada,0.13,1.12,0.99,0.7515850144,2023
Wake Forest,0.12,1.12,1.01,0.8627553693,2023
Seton Hall,0.12,1.05,0.93,0.8469976905,2023
Clemson,0.12,1.12,1.0,0.8226729069,2023
Colorado,0.12,1.04,0.93,0.807673628,2023
Mississippi,0.12,1.13,1.01,0.7961717538,2023
Arizona St.,0.12,1.08,0.96,0.7591308368,2023
UC Santa Barbara,0.12,1.07,0.95,0.7572319909,2023
Charleston,0.11,1.07,0.96,0.8962131837,2023
VCU,0.11,1.05,0.94,0.8532404928,2023
Sam Houston St.,0.11,1.02,0.92,0.7975683891,2023
Colgate,0.1,1.11,1.01,0.8602753697,2023
Utah Valley,0.1,1.06,0.96,0.8074037019,2023
Vanderbilt,0.1,1.12,1.02,0.8015546411,2023
St. John's,0.1,1.09,0.99,0.7563686892,2023
Marshall,0.1,1.12,1.02,0.7522080471,2023
Akron,0.09,1.1,1.01,0.8859550562,2023
Yale,0.09,1.06,0.97,0.8333333333,2023
UNLV,0.09,1.07,0.98,0.7918277195,2023
San Francisco,0.08,1.1,1.02,0.8626114316,2023
Nebraska,0.08,1.06,0.98,0.8569832402,2023
Utah,0.08,1.07,0.99,0.7873718295,2023
Saint Louis,0.07,1.07,1.0,0.7979057592,2023
Notre Dame,0.07,1.12,1.05,0.793442623,2023
Iona,0.07,1.07,1.0,0.7878220141,2023
Hofstra,0.07,1.07,0.99,0.7653213752,2023
Princeton,0.06,1.1,1.04,0.9148816234,2023
Oral Roberts,0.06,1.11,1.04,0.8535457348,2023
Kent St.,0.06,1.07,1.0,0.7995991984,2023
DePaul,0.06,1.08,1.02,0.7511473738,2023
Syracuse,0.06,1.13,1.07,0.7301756253,2023
Davidson,0.05,1.06,1.01,0.8763784098,2023
Vermont,0.05,1.04,0.99,0.8656471873,2023
Wichita St.,0.05,1.05,1.0,0.8482871126,2023
Seattle,0.05,1.04,0.99,0.8197802198,2023
Texas A&M Corpus Chris,0.05,1.06,1.01,0.8146964856,2023
Tulane,0.05,1.07,1.01,0.8045915643,2023
Montana St.,0.05,1.05,1.0,0.7883169462,2023
Louisiana,0.05,1.03,0.98,0.7707865169,2023
Indiana St.,0.04,1.03,0.99,0.9396809571,2023
Furman,0.04,1.1,1.06,0.9139004149,2023
San Jose St.,0.04,1.09,1.05,0.8754578755,2023
Grand Canyon,0.04,1.05,1.02,0.8372993913,2023
Rice,0.04,1.09,1.04,0.820443483,2023
Portland,0.04,1.13,1.1,0.8189300412,2023
Bradley,0.04,1.03,0.99,0.8142189933,2023
Boston College,0.04,1.02,0.98,0.7764140875,2023
Louisiana Tech,0.03,0.98,0.95,0.878699942,2023
Fordham,0.03,1.0,0.97,0.8753287743,2023
Cal Baptist,0.03,1.01,0.98,0.8732071142,2023
Wyoming,0.03,1.02,0.98,0.8669154229,2023
James Madison,0.03,1.02,0.99,0.8656966984,2023
Loyola Marymount,0.03,1.08,1.06,0.8547008547,2023
South Alabama,0.03,1.03,1.0,0.8544403573,2023
Duquesne,0.03,1.1,1.07,0.8084795322,2023
Fresno St.,0.03,1.03,1.0,0.8001233806,2023
Temple,0.03,1.04,1.01,0.7981961669,2023
San Diego,0.03,1.11,1.09,0.7951052931,2023
Georgia Tech,0.03,1.09,1.05,0.7647684939,2023
UC Riverside,0.03,1.02,0.99,0.7560728745,2023
Minnesota,0.03,1.07,1.03,0.7487980769,2023
Butler,0.03,1.01,0.98,0.7391058291,2023
Florida St.,0.03,1.09,1.06,0.7282608696,2023
Georgetown,0.03,1.06,1.03,0.6725297465,2023
Southern Utah,0.02,1.05,1.03,0.8917682927,2023
Middle Tennessee,0.02,1.02,1.0,0.8415393322,2023
Charlotte,0.02,1.04,1.02,0.8338675214,2023
Troy,0.02,1.01,0.99,0.8326601269,2023
Northern Kentucky,0.02,1.04,1.02,0.8275678552,2023
Belmont,0.02,1.08,1.06,0.8269126424,2023
UNC Greensboro,0.02,1.05,1.03,0.8158051099,2023
Penn,0.02,1.11,1.09,0.8075089392,2023
Tulsa,0.02,0.96,0.94,0.8020022247,2023
Washington,0.02,1.03,1.01,0.7944078947,2023
Southern Miss,0.02,1.03,1.02,0.7785467128,2023
Eastern Kentucky,0.02,1.06,1.05,0.75,2023
Missouri St.,0.01,1.0,0.99,0.8457508731,2023
George Mason,0.01,1.0,0.99,0.8319232939,2023
UTEP,0.01,0.97,0.97,0.8024242424,2023
SMU,0.01,1.02,1.01,0.7712350182,2023
Tarleton St.,0.01,0.98,0.97,0.7649301144,2023
UC Irvine,0.01,1.03,1.02,0.7529715762,2023
South Dakota St.,0.01,1.07,1.05,0.7524467473,2023
Pepperdine,0.01,1.12,1.11,0.7504141358,2023
Harvard,0.0,1.01,1.01,0.8866259335,2023
Brown,0.0,1.0,1.0,0.8336544637,2023
Youngstown St.,0.0,1.09,1.09,0.8298200514,2023
New Mexico St.,0.0,1.0,1.0,0.8291873964,2023
Gardner Webb,0.0,0.98,0.98,0.8236775819,2023
UC Davis,0.0,1.03,1.03,0.8045023697,2023
South Carolina,0.0,1.05,1.05,0.7990249187,2023
Towson,0.0,1.05,1.05,0.7970863684,2023
Hawaii,0.0,1.0,1.0,0.7910447761,2023
Stephen F. Austin,0.0,1.01,1.01,0.774527727,2023
Montana,0.0,1.05,1.05,0.7619047619,2023
Long Beach St.,0.0,1.05,1.05,0.7449974346,2023
Texas St.,0.0,1.03,1.03,0.7436781609,2023
Cornell,-0.01,1.05,1.06,0.9023631841,2023
Queens of Charlotte,-0.01,1.03,1.05,0.8733031674,2023
Saint Joseph's,-0.01,1.03,1.03,0.8660062565,2023
Air Force,-0.01,1.04,1.05,0.8655256724,2023
Ohio,-0.01,1.09,1.1,0.8518332496,2023
Richmond,-0.01,1.03,1.04,0.8514796203,2023
Georgia,-0.01,1.02,1.03,0.8317334839,2023
Cal St. Fullerton,-0.01,1.01,1.02,0.809976247,2023
Massachusetts,-0.01,1.04,1.05,0.7912205567,2023
Longwood,-0.01,1.01,1.02,0.7878433665,2023
Old Dominion,-0.01,0.99,1.01,0.7621843805,2023
Chattanooga,-0.02,1.06,1.07,0.8982035928,2023
Eastern Washington,-0.02,1.06,1.09,0.8615384615,2023
Wofford,-0.02,1.08,1.1,0.8551401869,2023
East Carolina,-0.02,1.0,1.02,0.8475738397,2023
Ball St.,-0.02,1.07,1.1,0.8409363745,2023
Abilene Christian,-0.02,0.99,1.01,0.8175230567,2023
Detroit,-0.02,1.12,1.14,0.7614445575,2023
Weber St.,-0.02,0.98,1.0,0.7613143211,2023
Campbell,-0.03,1.02,1.04,0.8854229154,2023
Loyola Chicago,-0.03,1.01,1.04,0.8638583639,2023
Samford,-0.03,1.03,1.06,0.858056266,2023
Lipscomb,-0.03,1.03,1.06,0.8561835478,2023
Utah Tech,-0.03,1.0,1.03,0.855721393,2023
FIU,-0.03,1.02,1.05,0.8379310345,2023
Northern Iowa,-0.03,1.0,1.03,0.8152237071,2023
George Washington,-0.03,1.05,1.09,0.8042505593,2023
Northwestern St.,-0.03,1.09,1.12,0.793472718,2023
Radford,-0.03,1.04,1.07,0.7658128594,2023
East Tennessee St.,-0.03,1.03,1.06,0.7619617225,2023
Appalachian St.,-0.03,0.97,1.0,0.7564259486,2023
Northern Arizona,-0.03,1.1,1.14,0.7534246575,2023
Murray St.,-0.03,1.06,1.09,0.7481523593,2023
Western Kentucky,-0.03,1.02,1.06,0.7435028249,2023
Wright St.,-0.03,1.03,1.06,0.7225939269,2023
Bryant,-0.04,1.02,1.06,0.9060293319,2023
UT Rio Grande Valley,-0.04,1.02,1.06,0.899872449,2023
Southern Illinois,-0.04,0.96,0.99,0.8933092224,2023
Western Carolina,-0.04,1.03,1.07,0.8665549972,2023
Northern Colorado,-0.04,1.07,1.11,0.8568220101,2023
Buffalo,-0.04,1.01,1.06,0.8300161377,2023
Kennesaw St.,-0.04,1.0,1.04,0.823819978,2023
Drexel,-0.04,0.97,1.01,0.7979033197,2023
Siena,-0.04,0.99,1.03,0.7801017524,2023
Purdue Fort Wayne,-0.05,0.99,1.05,0.8560906516,2023
UMass Lowell,-0.05,0.95,1.01,0.8310774228,2023
Jacksonville St.,-0.05,1.02,1.06,0.8307086614,2023
UMBC,-0.05,1.03,1.07,0.794734014,2023
Oregon St.,-0.05,0.98,1.03,0.7830882353,2023
Delaware,-0.05,1.01,1.07,0.7708565072,2023
Cleveland St.,-0.05,1.03,1.08,0.7662468514,2023
California,-0.05,0.96,1.01,0.7467532468,2023
UNC Wilmington,-0.05,0.96,1.01,0.742145821,2023
Portland St.,-0.06,1.03,1.09,0.8313885648,2023
Pacific,-0.06,1.11,1.17,0.8287444934,2023
UNC Asheville,-0.06,1.01,1.08,0.8250993754,2023
South Florida,-0.06,0.96,1.02,0.8157338965,2023
Norfolk St.,-0.06,1.0,1.06,0.8109640832,2023
Stetson,-0.06,1.05,1.11,0.8101635514,2023
Nicholls St.,-0.06,1.0,1.06,0.8095525998,2023
UC San Diego,-0.06,0.98,1.04,0.8020113136,2023
St. Bonaventure,-0.06,1.0,1.06,0.7803790412,2023
Georgia Southern,-0.06,0.96,1.02,0.7764976959,2023
Grambling St.,-0.06,0.94,1.0,0.7552870091,2023
Florida Gulf Coast,-0.07,1.01,1.08,0.8543909348,2023
St. Thomas,-0.07,1.02,1.09,0.850967008,2023
Navy,-0.07,0.96,1.03,0.8500871586,2023
Quinnipiac,-0.07,0.97,1.05,0.8429035753,2023
Southern Indiana,-0.07,1.01,1.08,0.8099399235,2023
La Salle,-0.07,1.01,1.07,0.7967599411,2023
North Carolina Central,-0.07,0.92,1.0,0.7943015983,2023
Rhode Island,-0.07,0.96,1.02,0.7807365439,2023
UT Arlington,-0.07,0.96,1.03,0.7726161369,2023
Canisius,-0.07,0.99,1.06,0.7571756602,2023
Rider,-0.07,1.01,1.08,0.7146268657,2023
Howard,-0.08,0.97,1.05,0.8598382749,2023
Morehead St.,-0.08,0.94,1.02,0.8161490683,2023
Robert Morris,-0.08,0.98,1.06,0.8050704225,2023
Idaho St.,-0.08,1.0,1.08,0.7879330944,2023
North Dakota St.,-0.08,1.03,1.11,0.7840136054,2023
Louisville,-0.08,0.99,1.07,0.7611764706,2023
Arkansas St.,-0.08,0.97,1.05,0.747977598,2023
Milwaukee,-0.09,1.02,1.11,0.9020979021,2023
Sacramento St.,-0.09,0.99,1.08,0.8852258852,2023
Western Illinois,-0.09,1.06,1.15,0.8475765306,2023
Boston University,-0.09,0.95,1.04,0.8356781092,2023
Coastal Carolina,-0.09,1.01,1.1,0.8352306771,2023
Fairfield,-0.09,0.93,1.02,0.8226906386,2023
Niagara,-0.09,0.97,1.06,0.820952381,2023
Fairleigh Dickinson,-0.09,1.04,1.12,0.8134883721,2023
Marist,-0.09,0.95,1.03,0.7868131868,2023
Valparaiso,-0.09,1.0,1.09,0.7693169093,2023
Prairie View A&M,-0.09,0.94,1.03,0.752688172,2023
Mercer,-0.09,0.99,1.08,0.7144495413,2023
Dartmouth,-0.1,0.94,1.05,0.8468770987,2023
Miami OH,-0.1,1.04,1.15,0.8325092707,2023
Jacksonville,-0.1,0.96,1.06,0.7926646707,2023
Georgia St.,-0.1,0.95,1.05,0.785443038,2023
USC Upstate,-0.1,1.01,1.11,0.7834240774,2023
Texas Southern,-0.1,0.93,1.03,0.7552699229,2023
Louisiana Monroe,-0.1,0.95,1.05,0.7468123862,2023
Army,-0.11,0.97,1.08,0.8883040936,2023
Lafayette,-0.11,0.93,1.04,0.8495481127,2023
Oakland,-0.11,1.0,1.11,0.8286961266,2023
Northern Illinois,-0.11,0.96,1.07,0.8209399167,2023
Idaho,-0.11,0.98,1.1,0.8141146818,2023
SIU Edwardsville,-0.11,0.96,1.07,0.8010380623,2023
Southern,-0.11,0.9,1.0,0.7987164527,2023
